Amount,Status,FamilyStatus,Duration,Interest,Installment
29700,Commercial associate,Singlenot married,15,775,93.67
29700,Commercial associate,Singlenot married,18,87,88.65
29700,Commercial associate,Singlenot married,24,964,128.41
29700,Commercial associate,Singlenot married,10,87,94.98
29700,Commercial associate,Singlenot married,12,0.1217,179.8
29700,Commercial associate,Singlenot married,18,0.1533,444.05
29700,Commercial associate,Singlenot married,36,775,124.89
29700,Commercial associate,Singlenot married,18,0.1533,644.3
29700,Commercial associate,Singlenot married,12,964,642.02
29700,Commercial associate,Singlenot married,12,0.1154,104.76
29700,Commercial associate,Singlenot married,12,0.1122,157.66
29700,Commercial associate,Singlenot married,12,87,383.87
29700,Commercial associate,Singlenot married,24,0.1122,217.6
29700,Commercial associate,Singlenot married,12,807,297.99
29700,Commercial associate,Singlenot married,54,775,156.11
29700,Commercial associate,Singlenot married,12,0.1154,329.95
29700,Commercial associate,Singlenot married,18,807,313.67
29700,Commercial associate,Singlenot married,36,807,297.99
29700,Commercial associate,Singlenot married,20,933,239.65
29700,Commercial associate,Singlenot married,24,712,61.87
29700,Commercial associate,Singlenot married,36,0.1186,94.47
29700,Commercial associate,Singlenot married,6,0.1501,73.68
29700,Commercial associate,Singlenot married,9,807,313.67
29700,Commercial associate,Singlenot married,12,933,543.2
29700,Commercial associate,Singlenot married,24,807,313.67
29700,Commercial associate,Singlenot married,18,0.1217,266.37
29700,Commercial associate,Singlenot married,12,0.1028,210.6
29700,Commercial associate,Singlenot married,24,0.1249,234.15
29700,Commercial associate,Singlenot married,14,0.1028,323.99
29700,Commercial associate,Singlenot married,6,0.1059,235.96
29700,Commercial associate,Singlenot married,15,0.1438,352.22
29700,Commercial associate,Singlenot married,18,743,117.31
29700,Commercial associate,Singlenot married,36,712,64.96
29700,Commercial associate,Singlenot married,12,0.1565,699.69
29700,Commercial associate,Singlenot married,48,0.1059,195.27
29700,Commercial associate,Singlenot married,42,0.1122,295.59
29700,Commercial associate,Singlenot married,10,0.1122,217.59
29700,Commercial associate,Singlenot married,33,0.1375,263.09
29700,Commercial associate,Singlenot married,12,0.1467,248.43
29700,Commercial associate,Singlenot married,21,0.1028,194.4
29700,Commercial associate,Singlenot married,24,0.1249,301.04
29700,Commercial associate,Singlenot married,12,743,163.92
29700,Commercial associate,Singlenot married,10,0.1028,150.66
29700,Commercial associate,Singlenot married,18,0.1122,217.59
29700,Commercial associate,Singlenot married,12,0.1312,85.23
29700,Commercial associate,Singlenot married,12,0.1122,328.43
29700,Commercial associate,Singlenot married,12,807,165.47
29700,Commercial associate,Singlenot married,12,0.1091,140.6
29700,Commercial associate,Singlenot married,12,0.1028,98.01
29700,Commercial associate,Singlenot married,48,0.1217,166.48
29700,Commercial associate,Singlenot married,36,0.1249,284.32
29700,Commercial associate,Singlenot married,15,0.1438,194.15
29700,Commercial associate,Singlenot married,18,0.1028,138.51
29700,Commercial associate,Singlenot married,60,0.1249,70.25
15750,Commercial associate,Married,12,838,252.1
15750,Commercial associate,Married,27,901,263.19
15750,Commercial associate,Married,12,933,104.65
15750,Commercial associate,Married,15,807,172.53
15750,Commercial associate,Married,12,996,38.7
13500,Working,Married,6,0.1249,100.35
13500,Working,Married,36,0.128,335.98
13500,Working,Married,27,0.1091,163.49
13500,Working,Married,18,996,32.25
22500,Working,Married,21,996,96.75
22500,Working,Married,48,0.1059,72.42
22500,Working,Married,6,964,90.68
22500,Working,Married,12,807,259.58
13500,Working,Married,36,964,169.32
13500,Working,Married,18,0.1154,205.4
13500,Working,Married,6,0.1312,162.01
13500,Working,Married,10,0.1028,226.8
13500,Working,Married,36,0.1059,162.73
13500,Working,Married,24,0.1154,158.38
13500,Working,Married,24,901,795.11
13500,Working,Married,12,996,158.83
15750,Working,Married,9,0.1028,97.2
15750,Working,Married,12,0.1154,263.97
15750,Working,Married,24,0.1091,404.62
15750,Working,Married,6,775,307.53
11250,Pensioner,Married,24,0.128,839.95
11250,Pensioner,Married,18,0.1059,269.31
11250,Pensioner,Married,15,0.1186,265.18
11250,Pensioner,Married,10,964,802.47
11250,Pensioner,Married,36,0.1091,505.16
11250,Pensioner,Married,6,901,318.05
11250,Pensioner,Married,18,838,315.12
11250,State servant,Married,11,0.1091,130.79
11250,State servant,Married,24,0.1059,227.82
11250,State servant,Married,24,996,643.36
11250,State servant,Married,15,0.147,51.78
11250,State servant,Married,12,901,572.48
11250,State servant,Married,24,775,149.87
11250,State servant,Married,8,996,96.75
27000,Working,Separated,21,712,92.8
27000,Working,Separated,30,0.1091,192.09
27000,Working,Separated,12,0.1154,593.92
27000,Working,Separated,6,0.1091,392.36
27000,Working,Separated,12,775,156.11
27000,Working,Separated,21,0.1028,155.52
27000,Working,Separated,36,0.1028,485.99
27000,Working,Married,36,0.1028,116.64
27000,Working,Married,21,0.1122,223.34
15750,Working,Married,24,775,149.87
15750,Working,Married,18,0.1154,211.17
16650,Working,Married,15,743,186.45
16650,Working,Married,9,933,790.86
16650,Working,Married,16,901,795.11
16650,Working,Married,12,87,126.65
16650,Working,Married,18,0.1091,294.27
16650,Working,Married,24,0.1091,404.62
16650,Working,Married,48,0.1186,397.77
16650,Working,Married,27,743,178.68
16650,Working,Married,6,0.1028,29.16
16650,Working,Married,45,996,417.62
16650,Working,Married,9,0.1059,130.18
16650,Working,Married,6,0.1122,98.53
16650,Working,Married,12,807,15.69
16650,Working,Married,24,0.1091,523.14
21600,State servant,Married,18,87,557.23
21600,State servant,Married,9,0.1122,315.3
21600,State servant,Married,12,0.1154,527.93
21600,State servant,Married,27,743,93.23
21600,State servant,Married,12,775,202.94
21600,State servant,Married,12,0.1186,165.74
21600,State servant,Married,30,0.1028,158.76
21600,State servant,Married,12,0.1028,485.99
21600,State servant,Married,12,996,322.49
21600,State servant,Married,24,87,189.97
27000,Commercial associate,Married,12,0.1217,376.24
27000,Commercial associate,Married,9,0.1217,599.33
22500,Commercial associate,Married,36,0.1217,132.35
22500,Commercial associate,Married,27,0.1186,828.69
31500,Working,Singlenot married,30,0.1091,604.88
31500,Working,Singlenot married,36,87,538.23
31500,Working,Singlenot married,6,933,172.55
25515,Pensioner,Civil marriage,18,0.1091,604.88
25515,Pensioner,Civil marriage,36,996,290.24
25515,Pensioner,Civil marriage,24,0.1186,530.36
25515,Pensioner,Civil marriage,10,87,158.31
25515,Pensioner,Civil marriage,12,0.1059,390.54
25515,Pensioner,Civil marriage,12,0.1249,301.04
15750,Working,Singlenot married,12,0.1154,659.91
15750,Working,Singlenot married,24,743,217.52
14850,Working,Married,15,0.1028,388.79
14850,Working,Married,36,87,158.31
14850,Working,Married,48,0.1217,319.64
14850,Working,Married,12,0.1028,103.68
14850,Working,Married,9,964,154.08
14850,Working,Married,24,0.1059,650.9
14850,Working,Married,36,0.1375,81.74
20250,Working,Married,9,901,238.54
20250,Working,Married,12,0.128,335.98
20250,Working,Married,18,0.1217,93.23
20250,Working,Married,4,933,95.87
20250,Working,Married,24,996,95.94
20250,Working,Singlenot married,6,0.128,554.37
20250,Working,Singlenot married,21,0.1438,859.07
11250,Commercial associate,Singlenot married,12,838,472.68
9450,Pensioner,Married,30,0.1091,586.9
31500,Working,Civil marriage,24,964,224.69
31500,Working,Civil marriage,6,0.128,483.81
31500,Working,Civil marriage,48,0.1217,399.55
31500,Working,Civil marriage,12,0.1186,232.04
31500,Working,Civil marriage,12,964,802.47
31500,Working,Civil marriage,24,0.1091,304.9
31500,Working,Civil marriage,12,0.1249,836.23
31500,Working,Civil marriage,6,775,124.89
31500,Working,Civil marriage,24,0.1028,113.4
27000,Commercial associate,Civil marriage,18,0.1407,842.47
27000,Commercial associate,Civil marriage,6,0.1091,817.41
27000,Commercial associate,Civil marriage,12,0.1596,421.65
45000,State servant,Married,30,933,575.17
45000,State servant,Married,24,0.1312,405.03
18000,Working,Married,9,0.128,167.99
11250,Working,Civil marriage,60,996,677.22
11250,Working,Civil marriage,24,0.1154,131.99
11250,Working,Civil marriage,12,933,281.2
9000,Working,Married,15,964,802.47
9000,Working,Married,11,0.1091,505.16
9000,Working,Married,12,743,180.23
9000,Working,Married,24,933,798.84
20250,Commercial associate,Married,18,933,319.54
20250,Commercial associate,Married,12,964,32.1
20250,Commercial associate,Married,10,964,192.6
20250,Commercial associate,Married,15,0.1407,764.64
24750,Working,Married,36,712,30.94
76500,Working,Married,24,901,381.66
76500,Working,Married,14,0.1249,301.04
76500,Working,Married,24,0.1438,687.25
76500,Working,Married,18,964,320.99
27000,Commercial associate,Married,12,0.147,862.97
27000,Commercial associate,Married,48,807,250.95
27000,Commercial associate,Married,48,743,87.01
31500,Working,Separated,30,775,62.45
31500,Working,Separated,9,0.1375,851.41
15750,Working,Married,18,0.1059,244.09
15750,Working,Married,12,0.1438,687.25
15750,Working,Married,6,0.1122,656.86
15750,Working,Married,24,0.128,537.57
15750,Working,Married,15,964,320.99
36000,Commercial associate,Married,12,996,386.99
36000,Commercial associate,Married,18,838,315.12
11250,Commercial associate,Married,15,0.1059,292.91
15750,Commercial associate,Separated,24,807,125.48
15750,Commercial associate,Separated,47,933,383.45
15750,Commercial associate,Separated,48,0.1343,523.78
15750,Commercial associate,Separated,48,0.1217,199.78
15750,Commercial associate,Separated,12,933,575.17
15750,Commercial associate,Separated,24,901,95.42
15750,Commercial associate,Separated,12,901,477.07
15750,Commercial associate,Separated,36,807,345.06
15750,Commercial associate,Separated,24,0.1122,155.19
15750,Commercial associate,Separated,42,996,644.97
15750,Commercial associate,Separated,48,712,92.8
15750,Commercial associate,Separated,48,996,306.36
15750,Commercial associate,Separated,12,0.1154,143.53
15750,Commercial associate,Separated,10,964,288.89
15750,Commercial associate,Separated,18,933,87.88
38250,Pensioner,Widow,21,901,381.66
38250,Pensioner,Widow,6,0.1122,197.06
38250,Pensioner,Widow,36,807,83.92
38250,Pensioner,Widow,24,964,481.48
38250,Pensioner,Widow,10,996,253.16
38250,Pensioner,Widow,48,743,77.69
38250,Pensioner,Widow,6,0.1014,97
38250,Pensioner,Widow,30,0.1046,259.87
13500,Working,Civil marriage,12,743,124.3
13500,Working,Civil marriage,8,0.133,67.68
22500,Pensioner,Civil marriage,9,0.133,406.07
22500,Pensioner,Civil marriage,48,983,241.41
31500,Working,Married,24,0.1393,170.72
31500,Working,Married,24,838,293.85
31500,Working,Married,12,0.133,318.09
31500,Working,Married,4,92,63.79
31500,Working,Married,36,743,217.52
31500,Working,Married,12,0.1236,667.74
31500,Working,Married,24,0.1236,133.55
18000,Working,Married,12,0.1014,421.14
18000,Working,Married,15,0.1362,339.94
18000,Working,Married,30,0.1078,365.51
18000,Working,Married,24,807,313.69
18000,Working,Married,24,0.1583,876.83
18000,Working,Married,18,0.1362,316.99
18000,Working,Married,18,0.1236,701.12
18000,Working,Married,8,0.1014,485
18000,Working,Married,12,0.1236,133.55
18000,Working,Married,24,838,362.39
18000,Working,Married,36,712,108.27
18000,Working,Married,6,0.1236,240.39
15750,Working,Married,24,743,62.15
15750,Working,Married,18,838,66.18
15750,Working,Married,60,0.1109,327.82
15750,Working,Married,48,743,69.14
15750,Working,Married,24,0.1078,313.3
15750,Working,Married,6,0.1141,329.34
14400,Pensioner,Married,13,0.1236,292.97
22950,Working,Married,15,838,315.12
22950,Working,Married,24,807,225.86
22950,Working,Married,10,838,63.03
22950,Working,Married,24,0.1267,536.57
22950,Working,Married,21,0.1204,126.29
22950,Working,Married,18,951,192.23
22950,Working,Married,18,0.1014,97
22950,Working,Married,10,92,318.93
27000,Working,Married,15,0.1078,228.45
27000,Working,Married,13,0.1172,72.78
27000,Working,Married,24,0.1141,16.47
27000,Working,Married,6,775,124.89
27000,Working,Married,9,0.1109,262.26
27000,Working,Married,9,838,236.34
27000,Working,Married,9,0.1204,265.87
27000,Working,Married,18,775,101.47
29250,State servant,Married,12,775,218.55
29250,State servant,Married,10,0.1014,38.8
29250,State servant,Married,24,0.1141,247
29250,State servant,Married,12,0.1299,673.79
29250,State servant,Married,36,0.1078,79.96
29250,State servant,Married,12,0.1204,498.51
29250,State servant,Married,30,0.1488,692.14
29250,State servant,Married,18,951,800.95
29250,State servant,Married,12,983,289.69
29250,State servant,Married,12,838,264.71
29250,State servant,Married,6,0.1267,117.38
29250,State servant,Married,18,0.1078,293.72
29250,State servant,Married,12,0.1267,563.4
29250,State servant,Married,18,92,318.93
29250,State servant,Married,18,951,230.68
27000,Working,Married,36,0.152,734
27000,Working,Married,18,775,312.22
27000,Working,Married,36,807,250.95
27000,Working,Married,18,0.1425,514.49
27000,Working,Married,10,0.1046,16.25
27000,Working,Married,60,0.1204,372.22
22500,Working,Married,60,951,320.38
22500,Working,Married,48,0.1836,504.13
22500,Working,Married,18,0.1172,413.51
22500,Working,Married,7,0.1014,485
22500,Working,Married,36,0.1172,307.66
22500,Working,Married,6,0.1078,130.54
22500,Working,Married,20,0.1299,370.59
22500,Working,Married,18,0.1299,539.03
22500,Working,Married,22,775,312.22
22500,Working,Married,12,0.1078,70.17
22500,Working,Married,30,0.1078,440.57
22500,Working,Married,18,92,175.42
22500,Working,Married,18,0.1046,194.91
22500,Working,Married,18,0.1172,165.41
15750,Working,Married,15,0.133,406.07
15750,Working,Married,9,0.1172,82.71
15750,Working,Married,18,838,189.08
15750,Working,Married,12,712,57.23
15750,Working,Married,36,0.133,338.39
7425,Working,Separated,6,0.1204,498.51
7425,Working,Separated,9,0.1267,737.78
7425,Working,Separated,39,92,306.18
13500,Commercial associate,Married,12,951,592.7
13500,Commercial associate,Married,36,0.1014,611.1
13500,Commercial associate,Married,12,951,461.35
13500,Working,Married,24,0.1583,841.76
13500,Working,Married,18,0.1078,244.76
13500,Working,Married,18,0.1014,452.67
13500,Working,Married,24,0.1046,649.68
13500,Working,Married,14,838,226.89
13500,Working,Married,18,0.1204,498.51
14400,Working,Singlenot married,24,0.1615,880.78
14400,Working,Singlenot married,24,0.1141,658.67
14400,Working,Singlenot married,15,0.1172,231.57
20250,State servant,Married,24,0.1014,258.67
20250,State servant,Married,12,0.1109,157.36
20250,State servant,Married,24,0.1236,300.48
20250,State servant,Married,33,0.1141,658.67
20250,State servant,Married,12,0.1014,129.34
4050,Pensioner,Singlenot married,10,0.1393,170.72
33750,State servant,Married,24,0.133,101.52
33750,State servant,Married,36,0.1078,365.51
33750,State servant,Married,12,775,337.19
33750,State servant,Married,18,92,382.72
33750,State servant,Married,21,838,403.36
18000,Commercial associate,Married,18,775,305.97
18000,Commercial associate,Married,15,0.133,676.78
18000,Commercial associate,Married,12,0.1236,767.89
18000,Commercial associate,Married,12,0.1109,491.73
18000,Commercial associate,Married,21,0.1172,496.22
18000,Commercial associate,Married,12,0.1078,228.45
18000,Commercial associate,Married,18,0.1109,819.54
13050,Working,Civil marriage,28,0.1078,261.08
13050,Working,Civil marriage,18,0.1078,81.59
13050,Working,Civil marriage,9,0.1078,278.22
13050,Working,Civil marriage,18,775,312.22
13050,Working,Civil marriage,5,0.1141,59.28
13050,Working,Civil marriage,24,807,376.43
13050,Working,Civil marriage,6,983,804.69
13050,Working,Civil marriage,24,0.1046,812.09
13050,Working,Civil marriage,9,0.1078,130.54
13050,Working,Civil marriage,12,0.1141,329.34
13050,Working,Civil marriage,6,0.1172,99.25
13050,Working,Civil marriage,24,0.1362,381.58
13050,Working,Civil marriage,42,0.1078,313
13050,Working,Civil marriage,12,838,78.78
14400,Pensioner,Married,12,951,608.72
14400,Pensioner,Married,12,983,386.25
19350,Working,Singlenot married,20,92,669.76
19350,Working,Singlenot married,12,92,478.4
19350,Working,Singlenot married,48,838,567.22
19350,Working,Singlenot married,9,0.1488,346.07
19350,Working,Singlenot married,36,0.1425,685.99
11250,Pensioner,Widow,7,92,255.15
11250,Pensioner,Widow,12,0.1204,498.51
11250,Pensioner,Widow,15,775,124.89
11250,Pensioner,Widow,36,743,217.52
13500,Pensioner,Married,6,983,241.41
13500,Pensioner,Married,12,0.133,406.07
13500,Pensioner,Married,24,6,467.45
13500,Pensioner,Married,24,983,386.25
13500,Pensioner,Married,24,983,257.5
13500,Pensioner,Married,11,807,62.74
13500,Pensioner,Married,12,92,223.26
13500,Pensioner,Married,6,951,320.38
13500,Pensioner,Married,18,92,318.93
13500,Pensioner,Married,36,0.1393,527.52
13500,Pensioner,Married,15,775,327.83
13500,Pensioner,Married,12,951,640.76
13500,Pensioner,Married,12,0.1172,196.84
13500,Pensioner,Married,18,0.1046,42.23
26775,Working,Married,24,983,136
26775,Working,Married,24,0.1267,182.77
26775,Working,Married,48,0.1046,194.91
26775,Working,Married,33,832,94.46
26775,Working,Married,24,0.1261,450.67
26775,Working,Married,24,945,387.32
26775,Working,Married,6,863,47.45
26775,Working,Married,9,832,201.5
13950,Working,Separated,6,0.1324,405.72
13950,Working,Separated,18,0.1197,336.98
13950,Working,Separated,18,945,333.7
13950,Working,Separated,39,0.1387,655
6750,Working,Married,24,863,101.21
6750,Working,Married,12,976,533.77
25200,Working,Married,15,0.1071,16.31
25200,Working,Married,12,0.1008,807.62
25200,Working,Married,24,0.1292,347.5
25200,Working,Married,30,0.1039,194.71
25200,Working,Married,15,8,188.02
25200,Working,Married,12,976,237.95
25200,Working,Married,6,0.1008,148.61
18000,Commercial associate,Married,12,863,189.77
18000,Commercial associate,Married,24,0.1008,84
18000,Commercial associate,Married,10,976,192.93
18000,Commercial associate,Married,6,0.1197,431.6
13500,Commercial associate,Married,12,0.1071,339.06
13500,Commercial associate,Married,27,976,225.09
90000,Working,Singlenot married,6,0.1039,243.38
90000,Working,Singlenot married,6,737,24.84
18000,Commercial associate,Civil marriage,12,8,90.88
18000,Commercial associate,Civil marriage,24,0.1355,589.2
18000,Commercial associate,Civil marriage,36,945,96.03
18000,Commercial associate,Civil marriage,24,0.1071,48.91
18000,Commercial associate,Civil marriage,18,0.1229,200.12
18000,Commercial associate,Civil marriage,6,768,199.61
18000,Commercial associate,Civil marriage,24,8,310.24
11529,Pensioner,Married,36,976,80.39
11529,Pensioner,Married,9,832,160.57
11529,Pensioner,Married,24,0.1355,343
11529,Pensioner,Married,24,945,272.09
11529,Pensioner,Married,10,0.1324,307.67
11529,Pensioner,Married,15,976,200.17
11529,Pensioner,Married,15,0.1071,260.82
11529,Pensioner,Married,24,8,94.01
22500,Working,Married,39,976,46.63
22500,Working,Married,12,863,189.77
22500,Working,Married,36,976,627.02
13500,Working,Married,15,0.1166,330.53
13500,Working,Married,12,0.1039,584.12
13500,Working,Married,24,0.1197,199.2
13500,Working,Married,6,768,187.14
13500,Working,Married,6,0.1008,193.83
45000,State servant,Married,36,0.1008,807.62
45000,State servant,Married,6,976,644.71
45000,State servant,Married,6,0.1071,195.61
45000,State servant,Married,24,0.1103,163.77
27900,State servant,Singlenot married,18,0.1418,856.63
27900,State servant,Singlenot married,48,0.1103,327.53
27900,State servant,Singlenot married,24,8,313.37
27900,State servant,Singlenot married,18,976,128.62
27900,State servant,Singlenot married,26,0.1261,167.54
27900,State servant,Singlenot married,15,0.1134,501.73
27900,State servant,Singlenot married,4,945,544.17
27900,State servant,Singlenot married,36,8,188.02
7650,Working,Civil marriage,6,0.1166,97
7650,Working,Civil marriage,36,737,93.14
7650,Working,Civil marriage,15,0.1545,348.87
7650,Working,Civil marriage,12,768,155.95
7650,Working,Civil marriage,24,976,347.27
7650,Working,Civil marriage,24,0.1134,493.5
20250,Commercial associate,Married,21,976,80.39
20250,Commercial associate,Married,6,0.1292,507.36
6750,Commercial associate,Married,18,0.1324,608.58
6750,Commercial associate,Married,48,0.1008,646.1
23400,Working,Married,18,0.1229,25.???
23400,Working,Married,12,0.1071,195.61
23400,Working,Married,24,0.1324,507.15
23400,Working,Married,30,0.1418,548.25
23400,Working,Married,18,863,142.33
9000,Working,Singlenot married,12,0.1166,495.79
9000,Working,Singlenot married,24,0.1103,327.53
9000,Working,Singlenot married,24,0.1103,98.26
9000,Working,Singlenot married,24,0.1482,587.82
9000,Working,Singlenot married,12,0.1197,131.97
9000,Working,Singlenot married,48,0.1166,330.53
9000,Working,Singlenot married,12,0.1261,254.65
9000,Working,Singlenot married,6,0.1134,236.88
9000,Working,Singlenot married,48,8,313.37
8100,Working,Civil marriage,12,0.1166,826.31
10800,Working,Singlenot married,9,8,156.69
10800,Working,Singlenot married,12,0.1197,318.72
9900,Pensioner,Married,18,0.1039,171.18
9900,Pensioner,Married,21,863,373.21
19800,Working,Singlenot married,24,0.1261,820.91
19800,Working,Singlenot married,18,0.1071,815.04
36000,State servant,Married,24,0.1071,358.62
36000,State servant,Married,24,0.1292,213.72
13500,Pensioner,Married,6,0.1197,99.6
13500,Pensioner,Married,36,945,409.73
7650,Pensioner,Married,24,0.1387,341.15
7650,Pensioner,Married,24,0.1703,535.02
7650,Pensioner,Married,12,976,160.78
7650,Pensioner,Married,24,0.1008,129.22
7650,Pensioner,Married,48,0.1261,335.07
9000,State servant,Married,48,0.1103,294.78
9000,State servant,Married,24,0.1039,233.65
9000,State servant,Married,30,0.1292,504.84
9000,State servant,Married,24,0.1039,486.76
9000,State servant,Married,15,0.1197,398.4
27000,Commercial associate,Civil marriage,9,0.1103,671.44
27000,Commercial associate,Civil marriage,15,0.1261,670.13
8100,Working,Married,12,0.1071,521.63
8100,Working,Married,24,976,803.87
8100,Working,Married,36,0.1103,98.26
20250,State servant,Married,24,0.1387,135.61
20250,State servant,Married,18,0.1324,676.2
20250,State servant,Married,12,976,321.55
20250,State servant,Married,9,0.1071,652.04
20250,State servant,Married,36,976,771.72
20250,State servant,Married,12,863,316.28
20250,State servant,Married,18,0.145,516.32
20250,State servant,Married,9,0.1039,292.06
20250,State servant,Married,12,0.1166,330.53
20250,State servant,Married,18,0.1355,339.6
20250,State servant,Married,12,768,93.57
15750,Working,Married,12,976,192.93
15750,Working,Married,24,945,320.1
15750,Working,Married,21,0.1134,394.8
15750,Working,Married,24,0.1134,329
15750,Working,Married,24,0.1103,311.16
15750,Working,Married,6,8,94.01
15750,Working,Married,24,0.1387,341.15
15750,Working,Married,24,945,192.06
15750,Working,Married,18,832,182.61
15750,Working,Married,24,0.1671,710.18
18000,Commercial associate,Married,7,0.1071,508.59
18000,Commercial associate,Married,9,945,456.94
18000,Commercial associate,Married,24,8,313.37
18000,Commercial associate,Married,36,863,28.47
18000,Commercial associate,Married,10,0.1166,330.53
13500,Working,Married,24,0.1008,32.31
13500,Working,Married,24,0.1197,481.4
13500,Working,Married,36,0.1134,263.2
13500,Working,Married,18,0.1071,163.01
13500,Working,Married,15,976,675.25
13500,Working,Married,12,976,482.32
13500,Commercial associate,Married,10,0.1134,493.5
13500,Commercial associate,Married,21,976,187
13500,Commercial associate,Married,24,0.1039,162.26
27000,Commercial associate,Married,18,863,316.28
27000,Commercial associate,Married,48,0.1387,375.26
27000,Commercial associate,Married,60,976,482.32
27000,Commercial associate,Married,6,0.145,663.47
27000,Commercial associate,Married,30,0.1513,173.65
27000,Commercial associate,Married,12,863,221.4
27000,Commercial associate,Married,21,0.1103,360.29
27000,Commercial associate,Married,18,0.1166,330.53
27000,Commercial associate,Married,48,976,321.55
27000,Commercial associate,Married,12,0.1576,420.47
27000,Commercial associate,Married,18,945,224.07
20250,Working,Married,15,0.1418,548.25
20250,Working,Married,6,0.1134,329
20250,Working,Married,9,0.1229,490.29
20250,Working,Married,42,8,225.63
20250,Working,Married,9,976,257.24
15750,Working,Married,24,0.1071,95.36
15750,Working,Married,18,0.1418,274.13
15750,Working,Married,15,8,156.69
15750,Working,Married,9,0.1197,351.92
15750,Working,Married,24,0.1039,194.71
15750,Working,Married,12,0.1008,258.44
15750,Working,Married,24,0.1608,879.92
18000,Working,Married,60,945,150.45
18000,Working,Married,12,945,640.2
18000,Working,Married,42,0.1292,168.28
18000,Working,Married,18,0.1008,581.49
11250,Working,Separated,15,945,640.2
11250,Working,Separated,15,0.1513,694.59
15750,Commercial associate,Married,24,0.1292,807.74
15750,Commercial associate,Married,18,976,514.48
15750,Commercial associate,Married,36,0.1418,411.19
15750,Commercial associate,Married,30,0.1039,389.41
15750,Commercial associate,Married,12,0.1387,264.39
15750,Commercial associate,Married,24,976,482.32
15750,Commercial associate,Married,12,0.1355,645.24
15750,Commercial associate,Married,48,0.1229,293.51
15750,Commercial associate,Married,12,863,316.28
15750,Commercial associate,Married,24,0.1134,361.9
21600,Working,Married,36,0.1229,281.84
